Solucion 0: inicio:8; izq:1; der: 1; frente:1; bebe:1; ataca:4; fitness:7
Solucion 1: inicio:8; izq:2; der: 1; frente:2; bebe:1; ataca:3; fitness:0
Solucion 2: inicio:5; izq:2; der: 1; frente:2; bebe:2; ataca:1; fitness:1
Solucion 3: inicio:5; izq:2; der: 2; frente:1; bebe:2; ataca:1; fitness:1
Solucion 4: inicio:5; izq:2; der: 1; frente:1; bebe:1; ataca:0; fitness:1
Solucion 5: inicio:7; izq:1; der: 1; frente:1; bebe:2; ataca:1; fitness:1
Solucion 6: inicio:8; izq:1; der: 2; frente:1; bebe:2; ataca:1; fitness:7
Solucion 7: inicio:3; izq:2; der: 2; frente:1; bebe:1; ataca:2; fitness:0
Solucion 8: inicio:8; izq:2; der: 2; frente:1; bebe:1; ataca:0; fitness:5
Solucion 9: inicio:7; izq:2; der: 2; frente:1; bebe:1; ataca:5; fitness:2
Solucion 0: inicio:3; izq:2; der: 2; frente:1; bebe:1; ataca:3; fitness:0
Solucion 1: inicio:8; izq:2; der: 1; frente:2; bebe:1; ataca:2; fitness:0
Solucion 2: inicio:3; izq:2; der: 2; frente:1; bebe:1; ataca:1; fitness:1
Solucion 3: inicio:7; izq:1; der: 1; frente:1; bebe:2; ataca:2; fitness:1
Solucion 4: inicio:3; izq:2; der: 2; frente:1; bebe:1; ataca:0; fitness:1
Solucion 5: inicio:5; izq:2; der: 1; frente:1; bebe:1; ataca:2; fitness:0
Solucion 6: inicio:8; izq:2; der: 1; frente:2; bebe:1; ataca:1; fitness:1
Solucion 7: inicio:7; izq:1; der: 1; frente:1; bebe:2; ataca:3; fitness:1
Solucion 8: inicio:8; izq:2; der: 1; frente:1; bebe:1; ataca:0; fitness:6
Solucion 9: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:3; fitness:0
Solucion 0: inicio:5; izq:2; der: 1; frente:1; bebe:1; ataca:2; fitness:0
Solucion 1: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:3; fitness:0
Solucion 2: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:2; fitness:0
Solucion 3: inicio:8; izq:2; der: 1; frente:2; bebe:1; ataca:3; fitness:0
Solucion 4: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:3; fitness:0
Solucion 5: inicio:3; izq:2; der: 2; frente:1; bebe:1; ataca:3; fitness:0
Solucion 6: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:2; fitness:0
Solucion 7: inicio:8; izq:2; der: 1; frente:1; bebe:1; ataca:2; fitness:7
Solucion 8: inicio:5; izq:2; der: 2; frente:1; bebe:1; ataca:3; fitness:0
Solucion 9: inicio:3; izq:2; der: 1; frente:1; bebe:1; ataca:2; fitness:7
Solucion 0: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:2; fitness:0
Solucion 1: inicio:5; izq:2; der: 2; frente:1; bebe:1; ataca:3; fitness:0
Solucion 2: inicio:5; izq:2; der: 1; frente:1; bebe:1; ataca:3; fitness:0
Solucion 3: inicio:3; izq:2; der: 2; frente:1; bebe:1; ataca:3; fitness:0
Solucion 4: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:3; fitness:0
Solucion 5: inicio:5; izq:2; der: 2; frente:1; bebe:1; ataca:3; fitness:0
Solucion 6: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:3; fitness:0
Solucion 7: inicio:3; izq:2; der: 2; frente:1; bebe:1; ataca:2; fitness:0
Solucion 8: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:3; fitness:0
Solucion 9: inicio:5; izq:2; der: 1; frente:2; bebe:1; ataca:2; fitness:0
